playerID,name,source_group,primary_position,season,fangraphs_name,team,age,games,plate_appearances,at_bats,hits,home_runs,runs_batted_in,runs,stolen_bases,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,batting_fwar,batting_match_type
rodrial01,Alex Rodriguez,Statistical Induction,SS,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2011,Alex Rodriguez,NYY,37,481,2001,1740,443,83,255,264,28,0.254597701,0.342828585,0.442528735,0.78535732,8.598009703683942,matched
rodrial01,Alex Rodriguez,Statistical Induction,SS,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rusieam01,Amos Rusie,Official Induction,P,1889,Amos Rusie,2 Tms,19,106,398,387,97,0,32,46,9,0.250645994,0.271356783,0.328165374,0.599522157,0.2077049905004077,matched
rusieam01,Amos Rusie,Official Induction,P,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rusieam01,Amos Rusie,Official Induction,P,1891,Amos Rusie,NYG,23,378,1356,1335,330,8,143,163,16,0.247191011,0.258849557,0.317602996,0.576452553,-1.510569804083001,matched
rusieam01,Amos Rusie,Official Induction,P,1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rusieam01,Amos Rusie,Official Induction,P,1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rusieam01,Amos Rusie,Official Induction,P,1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rusieam01,Amos Rusie,Official Induction,P,1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rusieam01,Amos Rusie,Official Induction,P,1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rusieam01,Amos Rusie,Official Induction,P,1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
