playerID,image_url,name,source_group,bbref_url,image_source,mlbam_id
snidedu01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/122488/headshot/67/current",Duke Snider,Official Hall,https://www.baseball-reference.com/players/s/snidedu01.shtml,MLB,122488
pedrodu01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/456030/headshot/67/current",Dustin Pedroia,Passed-Over Players,https://www.baseball-reference.com/players/p/pedrodu01.shtml,MLB,456030
evansdw01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113936/headshot/67/current",Dwight Evans,Passed-Over Players,https://www.baseball-reference.com/players/e/evansdw01.shtml,MLB,113936
goodedw01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/114947/headshot/67/current",Dwight Gooden,Passed-Over Players,https://www.baseball-reference.com/players/g/goodedw01.shtml,MLB,114947
averiea01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/110395/headshot/67/current",Earl Averill,Official Hall,https://www.baseball-reference.com/players/a/averiea01.shtml,MLB,110395
combsea01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/112533/headshot/67/current",Earle Combs,Official Hall,https://www.baseball-reference.com/players/c/combsea01.shtml,MLB,112533
wynnea01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/124633/headshot/67/current",Early Wynn,Official Hall,https://www.baseball-reference.com/players/w/wynnea01.shtml,MLB,124633
delahed01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113218/headshot/67/current",Ed Delahanty,Official Hall,https://www.baseball-reference.com/players/d/delahed01.shtml,MLB,113218
walshed01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/123878/headshot/67/current",Ed Walsh,Official Hall,https://www.baseball-reference.com/players/w/walshed01.shtml,MLB,123878
roushed01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/121497/headshot/67/current",Edd Roush,Official Hall,https://www.baseball-reference.com/players/r/roushed01.shtml,MLB,121497
cicoted01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/112288/headshot/67/current",Eddie Cicotte,Passed-Over Players,https://www.baseball-reference.com/players/c/cicoted01.shtml,MLB,112288
collied01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/112505/headshot/67/current",Eddie Collins,Official Hall,https://www.baseball-reference.com/players/c/collied01.shtml,MLB,112505
matheed01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/118416/headshot/67/current",Eddie Mathews,Official Hall,https://www.baseball-reference.com/players/m/matheed01.shtml,MLB,118416
murraed02,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/119579/headshot/67/current",Eddie Murray,Official Hall,https://www.baseball-reference.com/players/m/murraed02.shtml,MLB,119579
planked01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/120616/headshot/67/current",Eddie Plank,Official Hall,https://www.baseball-reference.com/players/p/planked01.shtml,MLB,120616
martied01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/118365/headshot/67/current",Edgar Martinez,Official Hall,https://www.baseball-reference.com/players/m/martied01.shtml,MLB,118365
flickel01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/114241/headshot/67/current",Elmer Flick,Official Hall,https://www.baseball-reference.com/players/f/flickel01.shtml,MLB,114241
